username,created_at,likes,comments,shares,views,engagement_rate,post_date,posts_per_day,views_per_video,likes_per_video,comments_per_video,hour,weekday
661._miaa,2024-09-16 17:56:17+00:00,183900,329,3361,826700,0.2269142373291399,2024-09-16,1,826700.0,183900.0,329.0,17,Monday
nightmoonxyz,2025-04-23 04:25:50+00:00,2391,99,118,48600,0.0536625514403292,2025-04-23,1,48600.0,2391.0,99.0,4,Wednesday
fyp,2025-12-24 18:18:20+00:00,1504,16,21,42700,0.0360889929742388,2025-12-24,1,42700.0,1504.0,16.0,18,Wednesday
ljubicaastevic,2025-08-21 23:49:04+00:00,744,83,44,33600,0.025922619047619,2025-08-21,1,33600.0,744.0,83.0,23,Thursday
franncchii,2025-03-14 03:31:55+00:00,1633,106,59,136400,0.0131818181818181,2025-03-14,1,136400.0,1633.0,106.0,3,Friday
officialmrkebs24,2023-02-22 01:34:52+00:00,4623,26,127,42600,0.112112676056338,2023-02-22,1,42600.0,4623.0,26.0,1,Wednesday
princessna_lx,2025-06-14 07:14:20+00:00,118,10,9,3302,0.0414900060569351,2025-06-14,1,3302.0,118.0,10.0,7,Saturday
coopahahah,2025-12-26 22:51:30+00:00,80,33,10,424,0.2900943396226415,2025-12-26,1,424.0,80.0,33.0,22,Friday
ramariahalexia,2024-05-26 21:57:06+00:00,249700,168,2928,1200000,0.2106633333333333,2024-05-26,1,1200000.0,249700.0,168.0,21,Sunday
alicheeser,2025-12-26 22:54:58+00:00,63,5,0,2326,0.0292347377472055,2025-12-26,1,2326.0,63.0,5.0,22,Friday
btchdatsleah,2025-12-26 22:39:25+00:00,3,0,0,15,0.2,2025-12-26,1,15.0,3.0,0.0,22,Friday
nightmoonxyz,2025-05-07 14:42:39+00:00,906,51,75,21500,0.048,2025-05-07,1,21500.0,906.0,51.0,14,Wednesday
garciety,2022-01-04 01:01:05+00:00,65400,274,202,821200,0.0802191914271797,2022-01-04,1,821200.0,65400.0,274.0,1,Tuesday
davidledgerr,2021-12-30 00:55:14+00:00,58900,134,189,812600,0.0728808761998523,2021-12-30,1,812600.0,58900.0,134.0,0,Thursday
isabellaacruzz,2021-12-29 22:56:00+00:00,24000,82,74,359300,0.0672307264124686,2021-12-29,1,359300.0,24000.0,82.0,22,Wednesday
laupapalardo,2021-12-21 23:11:13+00:00,233800,1277,284,1500000,0.1569073333333333,2021-12-21,1,1500000.0,233800.0,1277.0,23,Tuesday
malebaquero,2021-12-21 13:08:40+00:00,72300,168,138,826200,0.0878794480755265,2021-12-21,1,826200.0,72300.0,168.0,13,Tuesday
malebaquero,2021-12-20 00:37:25+00:00,27200,115,54,387200,0.0706844008264462,2021-12-20,1,387200.0,27200.0,115.0,0,Monday
felicavieres,2022-01-03 15:37:14+00:00,32500,264,109,348300,0.0943812805053115,2022-01-03,1,348300.0,32500.0,264.0,15,Monday
esperanzahanccos,2021-12-29 05:43:52+00:00,22300,321,175,854700,0.0266713466713466,2021-12-29,1,854700.0,22300.0,321.0,5,Wednesday
malebaquero,2022-01-05 15:45:10+00:00,27500,79,30,316900,0.0871221205427579,2022-01-05,1,316900.0,27500.0,79.0,15,Wednesday
larahubsc,2021-12-29 00:45:29+00:00,137800,231,144,918000,0.1505174291938998,2021-12-29,1,918000.0,137800.0,231.0,0,Wednesday
sergio_el_waso,2022-01-01 16:24:26+00:00,15400,133,116,264400,0.0591868381240544,2022-01-01,1,264400.0,15400.0,133.0,16,Saturday
maratonyatraccion,2022-01-05 15:26:23+00:00,41800,97,34,338300,0.1239462015962163,2022-01-05,1,338300.0,41800.0,97.0,15,Wednesday
majolis,2022-01-06 17:17:50+00:00,66100,212,92,657600,0.1009793187347931,2022-01-06,1,657600.0,66100.0,212.0,17,Thursday
planesconyess,2022-01-04 16:23:32+00:00,104200,369,208,1000000,0.104777,2022-01-04,1,1000000.0,104200.0,369.0,16,Tuesday
luudelaguila,2022-01-04 15:24:58+00:00,28900,118,119,270000,0.1079148148148148,2022-01-04,1,270000.0,28900.0,118.0,15,Tuesday
isabellacuevaa,2021-12-28 20:01:14+00:00,21000,60,53,169500,0.1245604719764011,2021-12-28,1,169500.0,21000.0,60.0,20,Tuesday
johananana,2021-11-24 03:51:00+00:00,37100,173,160,428700,0.0873174714252391,2021-11-24,1,428700.0,37100.0,173.0,3,Wednesday
vichognzza,2021-11-14 23:24:16+00:00,70600,242,355,578100,0.1231568932710603,2021-11-14,1,578100.0,70600.0,242.0,23,Sunday
marianocalvera,2021-12-01 01:21:41+00:00,27500,146,60,332700,0.0832762248271716,2021-12-01,1,332700.0,27500.0,146.0,1,Wednesday
alejandrogavilan8,2021-11-24 03:07:28+00:00,11200,121,132,287500,0.0398365217391304,2021-11-24,1,287500.0,11200.0,121.0,3,Wednesday
totichemi,2021-11-28 18:50:44+00:00,102500,288,257,636800,0.1618168969849246,2021-11-28,1,636800.0,102500.0,288.0,18,Sunday
hijo_de_la_tierra,2021-11-16 23:50:19+00:00,91500,724,248,1400000,0.0660514285714285,2021-11-16,1,1400000.0,91500.0,724.0,23,Tuesday
kly.wu,2025-07-28 15:23:09+00:00,9971,93,189,79100,0.1296207332490518,2025-07-28,1,79100.0,9971.0,93.0,15,Monday
iranaretzz,2025-09-29 10:40:57+00:00,25000,125,4923,1100000,0.0273163636363636,2025-09-29,1,1100000.0,25000.0,125.0,10,Monday
