title,view_count,like_count,comment_count,duration_seconds
Let's see if you dare next time #Shorts #017,246200629,1572774,942,18
[6번] 식당 업소용 음식포장 비닐랩 절단기,160984366,1472323,678,15
Khaby Lame react epic moments #shorts #kabhylame,96455747,2312319,2203,19
Polina Knoroz's Cute Moment in Sports #shorts,91902366,1397067,930,35
Salute to indian army🇮🇳❤️💯 #army #trending #viral #respect #ytshorts #anurag #shorts #short #indian,85157682,1973374,0,30
#طفل فقير يريد ان يشتري الموز من البائع ولكن لم يكون المال يكفي ويطرده,72179884,1657224,6456,52
Khaby Lame react epic moments #shorts #kabhylame,68627526,1720630,907,24
Happiness ❤️ | Wild Cookbook,61273357,2385050,6365,58
MOST SATISFYIGN world RECORD,56268598,2764756,9656,26
Cute baby enjoying in slide 🛝 #viral #shorts #youtubeshorts #aarorakhadka,55649728,907209,0,12
Masala Cheese Kottu 😋 #shorts #asmr #asmrcooking #kottu #masala #chicken #easyrecipe #indianfood,52893322,1522472,3364,56
LED chaser Circuit |  Electronics Projects | LED circuits,51253022,817245,2238,59
Amazing Masala Guava | traditional food home,45966884,1814779,2909,44
Best Summer Coco Drink | Energy Booster | Wild Cookbook,40525860,1392069,907,50
"ПОЧЕМУ ЧАПИ В ШОКОЛАДЕ, А Я НЕТ?🐶😁",34799682,1067428,436,60
OMG what he did 😱 #funny #funnyvideos #family #comedy #prank,34526806,350870,470,11
Frootloop Challenge - #magic #magician #challenge #prank,30899579,312724,192,21
Talking Tom 🥨🍟🍕🥬🫛🫑🫒🫐🍇🍊🥭🍍,28156473,1299213,699,8
Prima di uscire 🤣 da Severo Collegio di Danza #collegiodidanza #amelitvit #shorts,27497855,549093,615,60
My students are the best 🥲💀,22804287,1269100,2174,14
Farming Equipment ###❗❗❗,22627839,145583,311,15
DILU Beats - Numba Ha (Suraganak Wilasa) - Official Lyrics Video,17973032,114304,6422,164
कृशिव की चाय बन रही है,18732313,245078,0,16
toy car towed by crane #shorts,15084784,837257,1105,40
Imagine staying in a place like this! #maldives,15068560,136142,195,16
Bombe Motai - Gajaman 3D -  Anushka Udana ft. Sunil Perera - Wasthi Productions,15078734,217840,5357,268
#shorts When u have Amazing kids at home ! #roohafzasharbat #swadshaala #viral #shortfeed #drinks,13109456,258315,0,60
shorts 🙂😈🥶🤐😱😎#freefirevideo #ffviral #ffshorts #garenafreefire #hackudo #hacker ‎#shorts #short,12882396,817630,28560,43
| PM Modi Kerala visit | Kerala Kochi Modi Roadshow | spg commando |,12379650,310384,958,58
Juicy mangoes🥭ever!As a filler with coconut for steamed woven cake & mango prawn devilled|Poorna-The,12209720,70489,3383,1203
Marvel Will Not be the Same 😢 #Marvel #Shorts,11415581,606543,9358,28
First Time of Making Fufu | Wild Cookbook,10599518,574115,1767,55
Dumbara Manika (දුම්බර මැණිකා) - Dilshan Maduranga (Official Music Video),10070786,115708,5115,222
बच्ची ने गरीब को दिलाया खिलौना,10034873,181065,0,35
How to make a 8 Channel Transmitter | 8 Channel Simple RF Remote Control For RC | Part 01 #jlcpcb,9577832,298671,492,60
"Trending Fruit All Country May 19,2023 Part_36 #shorts",9387025,293361,382,43
what muscle is he working on?,8579911,135207,439,13
හරි අපූරු වළං වළං | POT SELLER IN THE JUNGLE,8578730,36685,0,656
කොමළි | Komali - Jaanu Teledrama Theme Song | ITN,8358892,54222,1317,191
Short Circuit Protection Circuit | HOW TO MAKE A SHORT CIRCUIT PROTECTION CIRCUIT,8254902,243832,617,51
Baby Jackfruit (Polos) Patties | Wild Cookbook,6236748,311156,642,60
Swimming Song #viral #popular #kidsmusic #trending #babysongs #cartoon #littletreehouse,6198606,122864,0,44
How to draw rose flower very easy #shorts,5863446,204722,565,31
ЛИЗА УСЛЫШАЛА ЗНАКОМЫЙ ЗВУК?❤⭐😁,5721294,98582,0,32
Na Na Na Na - Official Video Song | A Vivek Mervin Original | Vivek Siva | Mervin Solomon,5624879,77556,1472,236
leaf painting idea🌿😍 /#viral #art #viralvideo #shorts,5386895,141468,273,38
Guacamole 🥑,5304832,196569,496,32
Tom&Jerry😘sayoo&anvi| sangeethkumar #shorts,5168018,287253,325,43
බෝම්බය | The Bomb | Vini Productions - විනී,5152155,180031,9414,1556
Fsboling-Professional woodworking machinery,5053466,18133,133,10
Chanuka Mora - Kanda Gena (කැන්දා ගෙනා) ft. Shavindya (Official Music Video) CHAPTER 02,5059220,65357,2465,232
Avocado Shake | Wild Cookbook,4972032,258429,539,38
New Hindi Mashup Songs | It's Feel Goes With Your Mood | Feel The Beat Playlists,4901725,36783,893,3994
Sour Bilimbi Pickle | Wild Cookbook,4854183,188985,891,53
Winter Melon Candy | පුහුල් දෝසි| Wild Cookbook,4825849,259111,807,58
😳😳😳🥺☹️,4821181,127942,658,18
A beautiful moment in life #571 - #shorts,4902974,69808,664,36
MADUWA - Sinhala Wedakam (Meuwa Beheth 2) - Official Music Video,4751455,63568,3439,206
Jackfruit Seed & Coconut Sweet Balls | Wild Cookbook,4743750,226907,741,59
Watch Till End_இறுதிவரை பாருங்க | InFact Tamil #shorts #shortsfeed,4577247,255703,153,52
Our aim should be towards the rest of the World-Yash🔥💯,4538439,215839,632,45
හිච්චි උපාලි | Hichchi Upali | Vini Productions - විනී,4446212,153512,8208,1436
Who Remember This 🤣😂 #cricket #shorts,4321396,111930,578,13
Dumbara Manika (Remix) - Dilshan Maduranga (EvO Beats) | @MrPravish | Sinhala Remix Songs,4305198,28373,806,166
